gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
257,1655,south,23,49,1655,7.212946331,0.811709787,0.845814317,0.893371999,16.1601219,16.32305336,15.86964417,0.290477732,0.453409195,2.095200295,08-10-21,299,23.44599936,22.80208984,22.80208984,1.832636973,20.95103516,30.98552734,M7.28,MAGIC family 7,257,control
257,1655,south,23,49,1655,0.530707301,0.644180475,0.652313352,0.794108152,14.78020438,14.79090214,14.77538967,0.004814706,0.015512466,0.0025552,07-06-21,NA,NA,NA,NA,NA,NA,NA,M7.28,MAGIC family 7,257,control
257,1655,south,23,49,1655,9.10704244,0.637115968,NA,0.84776634,13.00365102,13.22652531,12.87286758,0.130783433,0.353657722,1.191050278,09-28-21,318,25.70622642,25.54854492,25.54854492,0.992983633,23.99884766,28.73708984,M7.28,MAGIC family 7,257,control
257,1655,south,23,49,1655,8.350812892,0.809979102,NA,0.902996659,16.06078009,16.26260757,15.80645466,0.254325433,0.456152916,2.123824108,08-24-21,308,33.44184285,32.84473633,32.84473633,1.738473865,31.57373047,41.64884766,M7.28,MAGIC family 7,257,control
235,1656,south,24,49,1656,8.256663073,0.817920998,NA,0.905235767,16.00404177,16.18453789,15.80202103,0.202020742,0.382516861,1.668017199,08-24-21,307,34.05322278,32.86332031,32.86332031,2.924086813,31.66550781,46.86449219,M6.79,MAGIC family 6,235,control
235,1656,south,24,49,1656,8.722587581,0.612877555,NA,0.852963924,12.96011021,13.15668678,12.88633871,0.073771503,0.270348072,0.643478399,09-28-21,300,27.19032552,26.9422168,26.9422168,1.445999995,25.27566406,34.42492188,M6.79,MAGIC family 6,235,control
235,1656,south,24,49,1656,6.246270061,0.816882431,0.85670656,0.908808827,16.26997443,16.459795,15.87810326,0.391871172,0.581691742,2.44773317,08-10-21,304,23.18329352,22.07083008,22.07083008,2.769100842,21.04662109,37.84554688,M6.79,MAGIC family 6,235,control
235,1656,south,24,49,1656,0.434204679,0.648878233,0.661645621,0.779326797,14.76811021,14.78283119,14.76181602,0.006294186,0.021015167,0.002732965,07-06-21,NA,NA,NA,NA,NA,NA,NA,M6.79,MAGIC family 6,235,control
267,1657,south,25,49,1657,7.209446342,0.809187331,0.842643201,0.896809518,16.17977915,16.42730904,15.87957382,0.300205327,0.547735214,2.164314196,08-10-21,303,23.65718505,22.71449219,22.71449219,2.71014474,21.46177734,37.33945313,M7.64,MAGIC family 7,267,control
267,1657,south,25,49,1657,9.095837733,0.821549754,NA,0.912060142,16.07001555,16.32583618,15.80211544,0.267900111,0.523720741,2.436775935,08-24-21,305,36.18649097,34.01605469,34.01605469,4.421987586,32.09632813,49.41501953,M7.64,MAGIC family 7,267,control
